BEARING MARK,DIM A,DIM B,T1,T2,T3,T4,MAX,PROFILE,M10
B81-P08-BER-07,470,570,20,22.3641,39.4641,37.1,39.4641,40,NO
B81-P08-BER-08,470,570,20,22.3641,39.4641,37.1,39.4641,40,NO
B81-P08-BER-18,470,570,20,22.3829,39.4829,37.1,39.4829,40,NO
B81-P10-BER-11,470,570,20,34.1,39.8,25.7,39.8,40,NO
B81-P09-BER-09,470,570,20,33.7522,40.0222,26.27,40.0222,40,NO
B81-P34-BER-08,470,570,34.5089,20,25.7,40.2089,40.2089,45,NO
B81-P32-BER-15,470,570,34.7345,20,25.7,40.4345,40.4345,45,NO
B81-P10-BER-12,470,570,20,35.1998,40.8998,25.7,40.8998,45,NO
B81-P34-BER-09,470,570,41.3951,28.55,20,32.8451,41.3951,45,NO
B81-P32-BER-16,470,570,35.9283,20,25.7,41.6283,41.6283,45,NO
B81-P07-BER-18,470,570,24.9632,20,37.1,42.0632,42.0632,45,NO
B81-P35-BER-06,470,700,30.8053,20,31.4625,42.2678,42.2678,45,NO
B81-P07-BER-08,470,570,25.4097,20,37.1,42.5097,42.5097,45,NO
B81-P07-BER-07,470,570,25.4285,20,37.1,42.5285,42.5285,45,NO
B81-P07-BER-06,470,570,25.4426,20,37.1,42.5426,42.5426,45,NO
B81-P07-BER-05,470,570,25.4567,20,37.1,42.5567,42.5567,45,NO
B81-P07-BER-13,470,570,25.6353,20,37.1,42.7353,42.7353,45,NO
B81-P07-BER-10,470,570,25.6635,20,37.1,42.7635,42.7635,45,NO
B81-P07-BER-17,470,570,25.6776,20,37.1,42.7776,42.7776,45,NO
B81-P07-BER-12,470,570,25.6964,20,37.1,42.7964,42.7964,45,NO
B81-P07-BER-14,470,570,25.7011,20,37.1,42.8011,42.8011,45,NO
B81-P07-BER-16,470,570,25.7011,20,37.1,42.8011,42.8011,45,NO
B81-P07-BER-09,470,570,25.7293,20,37.1,42.8293,42.8293,45,NO
B81-P07-BER-15,470,570,25.7387,20,37.1,42.8387,42.8387,45,NO
B81-P32-BER-17,470,570,37.1456,20,25.7,42.8456,42.8456,45,NO
B81-P07-BER-11,470,570,25.7528,20,37.1,42.8528,42.8528,45,NO
B81-P07-BER-04,470,570,25.8938,20,37.1,42.9938,42.9938,45,NO
B81-P07-BER-03,470,570,25.9314,20,37.1,43.0314,43.0314,45,NO
B81-P07-BER-02,470,570,25.9596,20,37.1,43.0596,43.0596,45,NO
B81-P10-BER-13,470,570,20,36.309,43.434,27.125,43.434,45,NO
B81-P34-BER-07,470,570,35.369,20,28.1225,43.4915,43.4915,45,NO
B81-P07-BER-01,470,570,26.4437,20,37.1,43.5437,43.5437,45,NO
B81-P32-BER-18,470,570,38.3441,20,25.7,44.0441,44.0441,45,NO
B81-P10-BER-14,470,570,20,37.155,44.28,27.125,44.28,45,NO
B81-P10-BER-15,470,570,20,38.2689,44.5389,26.27,44.5389,45,NO
B81-P35-BER-05,470,700,32.2858,20,32.95,45.2358,45.2358,50,NO
B81-P32-BER-19,470,570,39.5661,20,25.7,45.2661,45.2661,50,NO
B81-P10-BER-16,470,570,20,39.3781,45.6481,26.27,45.6481,50,NO
B81-P10-BER-01,470,570,34.25,46,31.75,20,46,50,NO
B81-P35-BER-11,470,700,46.0149,41,20,25.0149,46.0149,50,NO
B81-P32-BER-22,470,570,43.1663,20,22.85,46.0163,46.0163,50,NO
B81-P09-BER-11,470,570,20,28.9488,46.0488,37.1,46.0488,50,NO
B81-P09-BER-12,470,570,20,28.9488,46.0488,37.1,46.0488,50,NO
B81-P09-BER-13,470,570,20,28.9488,46.0488,37.1,46.0488,50,NO
B81-P10-BER-17,470,570,20,40.5061,46.2061,25.7,46.2061,50,NO
B81-P34-BER-06,470,570,36.9247,20,29.33375,46.25845,46.25845,50,NO
B81-P09-BER-10,470,570,20,29.2919,46.3919,37.1,46.3919,50,NO
B81-P32-BER-20,470,570,40.7599,20,25.7,46.4599,46.4599,50,NO
B81-P34-BER-14,470,570,46.4812,37.1,20,29.3812,46.4812,50,NO
B81-P31-BER-01,470,570,41.056,20,25.7,46.756,46.756,50,NO
B81-P34-BER-13,470,570,46.8055,37.1,20,29.7055,46.8055,50,NO
B81-P09-BER-15,470,570,20,29.8371,46.9371,37.1,46.9371,50,NO
B81-P09-BER-14,470,570,20,29.8559,46.9559,37.1,46.9559,50,NO
B81-P09-BER-16,470,570,20,29.8559,46.9559,37.1,46.9559,50,NO
B81-P09-BER-17,470,570,20,29.8559,46.9559,37.1,46.9559,50,NO
B81-P34-BER-12,470,570,46.9606,37.1,20,29.8606,46.9606,50,NO
B81-P35-BER-10,470,700,46.9737,41,20,25.9737,46.9737,50,NO
B81-P35-BER-12,470,700,46.9784,41,20,25.9784,46.9784,50,NO
B81-P10-BER-02,470,570,34.25,47.0387,32.7887,20,47.0387,50,NO
B81-P34-BER-11,470,570,47.1439,37.1,20,30.0439,47.1439,50,NO
B81-P09-BER-18,470,570,20,30.2131,47.3131,37.1,47.3131,50,NO
B81-P35-BER-13,470,700,47.4155,41,20,26.4155,47.4155,50,NO
B81-P35-BER-14,470,700,47.5612,41,20,26.5612,47.5612,50,NO
B81-P31-BER-02,470,570,41.9067,20,25.7,47.6067,47.6067,50,NO
B81-P32-BER-21,470,570,41.9772,20,25.7,47.6772,47.6772,50,NO
B81-P10-BER-03,470,570,34.25,47.739,33.489,20,47.739,50,NO
B81-P34-BER-10,470,570,47.9053,37.1,20,30.8053,47.9053,50,NO
B81-P10-BER-18,470,570,20,41.949,48.219,26.27,48.219,50,NO
B81-P30-BER-26,470,570,48.2672,37.1,20,31.1672,48.2672,50,NO
B81-P30-BER-14,470,570,48.3283,37.1,20,31.2283,48.3283,50,NO
B81-P10-BER-04,470,570,34.25,48.4205,34.1705,20,48.4205,50,NO
B81-P35-BER-04,470,700,34.1282,20,34.4375,48.5657,48.5657,50,NO
B81-P10-BER-05,470,570,34.25,48.5944,34.3444,20,48.5944,50,NO
B81-P30-BER-16,470,570,48.615,37.1,20,31.515,48.615,50,NO
B81-P30-BER-15,470,570,48.6291,37.1,20,31.5291,48.6291,50,NO
B81-P30-BER-17,470,570,48.6291,37.1,20,31.5291,48.6291,50,NO
B81-P30-BER-18,470,570,48.6291,37.1,20,31.5291,48.6291,50,NO
B81-P30-BER-19,470,570,48.6291,37.1,20,31.5291,48.6291,50,NO
B81-P30-BER-20,470,570,48.6291,37.1,20,31.5291,48.6291,50,NO
B81-P30-BER-21,470,570,48.6291,37.1,20,31.5291,48.6291,50,NO
B81-P30-BER-22,470,570,48.6291,37.1,20,31.5291,48.6291,50,NO
B81-P30-BER-23,470,570,48.6291,37.1,20,31.5291,48.6291,50,NO
B81-P30-BER-24,470,570,48.6291,37.1,20,31.5291,48.6291,50,NO
B81-P30-BER-25,470,570,48.6291,37.1,20,31.5291,48.6291,50,NO
B81-P13-BER-01,470,570,37.1,48.7043,31.6043,20,48.7043,50,NO
B81-P31-BER-03,470,570,43.1005,20,25.7,48.8005,48.8005,50,NO
B81-P13-BER-10,470,570,37.1,49.038,31.938,20,49.038,50,NO
B81-P13-BER-02,470,570,37.1,49.0944,31.9944,20,49.0944,50,NO
B81-P13-BER-03,470,570,37.1,49.132,32.032,20,49.132,50,NO
B81-P13-BER-04,470,570,37.1,49.1696,32.0696,20,49.1696,50,NO
B81-P34-BER-05,470,570,38.659,20,30.545,49.204,49.204,50,NO
B81-P13-BER-05,470,570,37.1,49.2072,32.1072,20,49.2072,50,NO
B81-P13-BER-06,470,570,37.1,49.2448,32.1448,20,49.2448,50,NO
B81-P10-BER-06,470,570,34.25,49.2477,34.9977,20,49.2477,50,NO
B81-P13-BER-07,470,570,37.1,49.2824,32.1824,20,49.2824,50,NO
B81-P13-BER-08,470,570,37.1,49.3247,32.2247,20,49.3247,50,NO
B81-P13-BER-09,470,570,37.1,49.3576,32.2576,20,49.3576,50,NO
B81-P31-BER-14,470,570,49.7784,35.105,20,34.6734,49.7784,50,NO
B81-P34-BER-23,470,570,35.6698,20,34.25,49.9198,49.9198,50,NO
B81-P10-BER-07,470,570,34.25,49.9292,35.6792,20,49.9292,50,NO
B81-P31-BER-04,470,570,44.3084,20,25.7,50.0084,50.0084,50,NO
B81-P06-BER-09,470,570,32.972,20,37.1,50.072,50.072,50,NO
B81-P06-BER-08,470,570,33.0378,20,37.1,50.1378,50.1378,55,NO
B81-P06-BER-07,470,570,33.1083,20,37.1,50.2083,50.2083,55,NO
B81-P06-BER-04,470,570,33.1835,20,37.1,50.2835,50.2835,55,NO
B81-P06-BER-06,470,570,33.1929,20,37.1,50.2929,50.2929,55,NO
B81-P06-BER-05,470,570,33.2023,20,37.1,50.3023,50.3023,55,NO
B81-P06-BER-03,470,570,33.301,20,37.1,50.401,50.401,55,NO
B81-P06-BER-02,470,570,33.4044,20,37.1,50.5044,50.5044,55,NO
B81-P10-BER-08,470,570,34.25,50.6154,36.3654,20,50.6154,55,NO
B81-P35-BER-03,470,700,34.7016,20,35.925,50.6266,50.6266,55,NO
B81-P31-BER-15,470,570,50.6573,35.105,20,35.5523,50.6573,55,NO
B81-P10-BER-09,470,570,34.25,50.9679,36.7179,20,50.9679,55,NO
B81-P06-BER-01,470,570,34.0953,20,37.1,51.1953,51.1953,55,NO
B81-P31-BER-05,470,570,45.4975,20,25.7,51.1975,51.1975,55,NO
B81-P31-BER-16,470,570,51.2072,35.105,20,36.1022,51.2072,55,NO
B81-P12-BER-01,470,570,37.1,51.3645,34.2645,20,51.3645,55,NO
B81-P11-BER-01,470,570,37.1,51.3927,34.2927,20,51.3927,55,NO
B81-P34-BER-04,470,570,39.6742,20,31.75625,51.43045,51.43045,55,NO
B81-P31-BER-17,470,570,51.743,35.105,20,36.638,51.743,55,NO
B81-P11-BER-10,470,570,37.1,51.7593,34.6593,20,51.7593,55,NO
B81-P12-BER-02,470,570,37.1,51.7593,34.6593,20,51.7593,55,NO
B81-P11-BER-02,470,570,37.1,51.7687,34.6687,20,51.7687,55,NO
B81-P12-BER-03,470,570,37.1,51.8063,34.7063,20,51.8063,55,NO
B81-P12-BER-10,470,570,37.1,51.8157,34.7157,20,51.8157,55,NO
B81-P11-BER-03,470,570,37.1,51.8298,34.7298,20,51.8298,55,NO
B81-P12-BER-04,470,570,37.1,51.8533,34.7533,20,51.8533,55,NO
B81-P11-BER-04,470,570,37.1,51.858,34.758,20,51.858,55,NO
B81-P11-BER-05,470,570,37.1,51.9144,34.8144,20,51.9144,55,NO
B81-P12-BER-05,470,570,37.1,51.9144,34.8144,20,51.9144,55,NO
B81-P11-BER-06,470,570,37.1,51.9473,34.8473,20,51.9473,55,NO
B81-P12-BER-06,470,570,37.1,51.9473,34.8473,20,51.9473,55,NO
B81-P11-BER-07,470,570,37.1,51.9896,34.8896,20,51.9896,55,NO
B81-P12-BER-07,470,570,37.1,51.9896,34.8896,20,51.9896,55,NO
B81-P12-BER-08,470,570,37.1,52.0225,34.9225,20,52.0225,55,NO
B81-P11-BER-08,470,570,37.1,52.0507,34.9507,20,52.0507,55,NO
B81-P11-BER-09,470,570,37.1,52.0836,34.9836,20,52.0836,55,NO
B81-P12-BER-09,470,570,37.1,52.0836,34.9836,20,52.0836,55,NO
B81-P34-BER-27,470,570,52.2763,37.1,20,35.1763,52.2763,55,NO
B81-P31-BER-18,470,570,52.2929,35.105,20,37.1879,52.2929,55,NO
B81-P31-BER-06,470,570,46.7195,20,25.7,52.4195,52.4195,55,NO
B81-P34-BER-26,470,570,52.7698,37.1,20,35.6698,52.7698,55,NO
B81-P34-BER-25,470,570,52.7886,37.1,20,35.6886,52.7886,55,NO
B81-P34-BER-24,470,570,52.8262,37.1,20,35.7262,52.8262,55,NO
B81-P31-BER-19,470,570,52.8428,35.105,20,37.7378,52.8428,55,NO
B81-P34-BER-22,470,570,35.7497,20,37.1,52.8497,52.8497,55,NO
B81-P34-BER-21,470,570,35.8108,20,37.1,52.9108,52.9108,55,NO
B81-P34-BER-15,470,570,35.8249,20,37.1,52.9249,52.9249,55,NO
B81-P35-BER-02,470,700,35.5664,20,37.4125,52.9789,52.9789,55,NO
B81-P34-BER-20,470,570,35.8954,20,37.1,52.9954,52.9954,55,NO
B81-P34-BER-19,470,570,35.9753,20,37.1,53.0753,53.0753,55,NO
B81-P31-BER-09,470,570,50.3009,20,22.85,53.1509,53.1509,55,NO
B81-P34-BER-18,470,570,36.0599,20,37.1,53.1599,53.1599,55,NO
B81-P34-BER-17,470,570,36.1257,20,37.1,53.2257,53.2257,55,NO
B81-P34-BER-16,470,570,36.2103,20,37.1,53.3103,53.3103,55,NO
B81-P31-BER-20,470,570,53.3927,35.105,20,38.2877,53.3927,55,NO
B81-P34-BER-03,470,570,40.492,20,32.9675,53.4595,53.4595,55,NO
B81-P31-BER-07,470,570,47.9039,20,25.7,53.6039,53.6039,55,NO
B81-P31-BER-21,470,570,53.9285,35.105,20,38.8235,53.9285,55,NO
B81-P11-BER-11,470,570,34.25,54.1968,39.9468,20,54.1968,55,NO
B81-P31-BER-22,470,570,54.4784,35.105,20,39.3734,54.4784,55,NO
B81-P11-BER-12,470,570,34.25,54.5211,40.2711,20,54.5211,55,NO
B81-P31-BER-08,470,570,49.1212,20,25.7,54.8212,54.8212,55,NO
B81-P35-BER-01,470,700,36.3137,20,38.9,55.2137,55.2137,60,NO
B81-P11-BER-13,470,570,34.25,55.2214,40.9714,20,55.2214,60,NO
B81-P33-BER-26,470,570,55.7338,37.385,20,38.3488,55.7338,60,NO
B81-P29-BER-03,470,570,55.7684,37.1,20,38.6684,55.7684,60,NO
B81-P29-BER-02,470,570,55.7825,37.1,20,38.6825,55.7825,60,NO
B81-P29-BER-04,470,570,55.7825,37.1,20,38.6825,55.7825,60,NO
B81-P29-BER-05,470,570,55.7825,37.1,20,38.6825,55.7825,60,NO
B81-P29-BER-06,470,570,55.7825,37.1,20,38.6825,55.7825,60,NO
B81-P29-BER-07,470,570,55.7825,37.1,20,38.6825,55.7825,60,NO
B81-P29-BER-08,470,570,55.7825,37.1,20,38.6825,55.7825,60,NO
B81-P29-BER-09,470,570,55.7825,37.1,20,38.6825,55.7825,60,NO
B81-P29-BER-10,470,570,55.7825,37.1,20,38.6825,55.7825,60,NO
B81-P29-BER-11,470,570,55.7825,37.1,20,38.6825,55.7825,60,NO
B81-P29-BER-12,470,570,55.7825,37.1,20,38.6825,55.7825,60,NO
B81-P34-BER-02 ,470,570,41.6294,20,34.17875,55.80815,55.80815,60,NO
B81-P11-BER-14,470,570,34.25,55.9029,41.6529,20,55.9029,60,NO
B81-P11-BER-15,470,570,34.25,56.0768,41.8268,20,56.0768,60,NO
B81-P29-BER-13,470,570,56.1444,37.1,20,39.0444,56.1444,60,NO
B81-P33-BER-25,470,570,56.1803,37.385,20,38.7953,56.1803,60,NO
B81-P29-BER-01,470,570,56.2055,37.1,20,39.1055,56.2055,60,NO
B81-P33-BER-24,470,570,56.2602,37.385,20,38.8752,56.2602,60,NO
B81-P33-BER-14,470,570,39.176,20,37.1,56.276,56.276,60,NO
B81-P31-BER-26,470,570,56.323,37.1,20,39.223,56.323,60,NO
B81-P33-BER-23,470,570,56.3495,37.385,20,38.9645,56.3495,60,NO
B81-P14-BER-15,470,570,37.1,56.37,39.27,20,56.37,60,NO
B81-P14-BER-16,470,570,37.1,56.4264,39.3264,20,56.4264,60,NO
B81-P33-BER-22,470,570,39.0585,20,37.385,56.4435,56.4435,60,NO
B81-P14-BER-17,470,570,37.1,56.4922,39.3922,20,56.4922,60,NO
B81-P33-BER-21,470,570,39.1525,20,37.385,56.5375,56.5375,60,NO
B81-P14-BER-18,470,570,37.1,56.5486,39.4486,20,56.5486,60,NO
B81-P14-BER-19,470,570,37.1,56.6144,39.5144,20,56.6144,60,NO
B81-P33-BER-20,470,570,39.2324,20,37.385,56.6174,56.6174,60,NO
B81-P33-BER-18,470,570,39.2465,20,37.385,56.6315,56.6315,60,NO
B81-P33-BER-17,470,570,39.2653,20,37.385,56.6503,56.6503,60,NO
B81-P33-BER-19,470,570,39.27,20,37.385,56.655,56.655,60,NO
B81-P14-BER-14,470,570,37.1,56.6567,39.5567,20,56.6567,60,NO
B81-P14-BER-20,470,570,37.1,56.6708,39.5708,20,56.6708,60,NO
B81-P31-BER-23,470,570,56.6802,37.1,20,39.5802,56.6802,60,NO
B81-P31-BER-24,470,570,56.6802,37.1,20,39.5802,56.6802,60,NO
B81-P31-BER-25,470,570,56.6802,37.1,20,39.5802,56.6802,60,NO
B81-P11-BER-16,470,570,34.25,56.7301,42.4801,20,56.7301,60,NO
B81-P14-BER-21,470,570,37.1,56.7319,39.6319,20,56.7319,60,NO
B81-P33-BER-16,470,570,39.3499,20,37.385,56.7349,56.7349,60,NO
B81-P14-BER-22,470,570,37.1,56.793,39.693,20,56.793,60,NO
B81-P33-BER-15,470,570,39.4627,20,37.385,56.8477,56.8477,60,NO
B81-P33-BER-09,470,570,42.7856,20,34.25,57.0356,57.0356,60,NO
B81-P14-BER-23,470,570,37.1,57.216,40.116,20,57.216,60,NO
B81-P11-BER-17,470,570,34.25,57.4116,43.1616,20,57.4116,60,NO
B81-P30-BER-01,470,570,57.6462,35.105,20,42.5412,57.6462,60,NO
B81-P30-BER-02,470,570,57.8107,35.105,20,42.7057,57.8107,60,NO
B81-P34-BER-01,470,570,42.6775,20,35.39,58.0675,58.0675,60,NO
B81-P11-BER-18,470,570,34.25,58.0978,43.8478,20,58.0978,60,NO
B81-P30-BER-03,470,570,58.3606,35.105,20,43.2556,58.3606,60,NO
B81-P30-BER-04,470,570,58.8964,35.105,20,43.7914,58.8964,60,NO
B81-P13-BER-12,470,570,37.1,59.0349,41.9349,20,59.0349,60,NO
B81-P12-BER-12,470,570,37.1,59.0443,41.9443,20,59.0443,60,NO
B81-P13-BER-13,470,570,37.1,59.1007,42.0007,20,59.1007,60,NO
B81-P12-BER-13,470,570,37.1,59.1242,42.0242,20,59.1242,60,NO
B81-P11-BER-19,470,570,34.25,59.1647,44.9147,20,59.1647,60,NO
B81-P13-BER-14,470,570,37.1,59.1759,42.0759,20,59.1759,60,NO
B81-P12-BER-14,470,570,37.1,59.1806,42.0806,20,59.1806,60,NO
B81-P12-BER-15,470,570,37.1,59.2558,42.1558,20,59.2558,60,NO
B81-P13-BER-15,470,570,37.1,59.2558,42.1558,20,59.2558,60,NO
B81-P12-BER-16,470,570,37.1,59.3075,42.2075,20,59.3075,60,NO
B81-P13-BER-16,470,570,37.1,59.3075,42.2075,20,59.3075,60,NO
B81-P13-BER-11,470,570,37.1,59.3169,42.2169,20,59.3169,60,NO
B81-P12-BER-11,470,570,37.1,59.3451,42.2451,20,59.3451,60,NO
B81-P12-BER-17,470,570,37.1,59.378,42.278,20,59.378,60,NO
B81-P13-BER-17,470,570,37.1,59.378,42.278,20,59.378,60,NO
B81-P13-BER-18,470,570,37.1,59.4297,42.3297,20,59.4297,60,NO
B81-P30-BER-05,470,570,59.4463,35.105,20,44.3413,59.4463,60,NO
B81-P12-BER-18,470,570,37.1,59.4579,42.3579,20,59.4579,60,NO
B81-P12-BER-19,470,570,37.1,59.5096,42.4096,20,59.5096,60,NO
B81-P13-BER-19,470,570,37.1,59.519,42.419,20,59.519,60,NO
B81-P33-BER-12,470,570,59.7822,37.1,20,42.6822,59.7822,60,NO
B81-P33-BER-11,470,570,59.8292,37.1,20,42.7292,59.8292,60,NO
B81-P33-BER-10,470,570,59.9044,37.1,20,42.8044,59.9044,60,NO
B81-P12-BER-20,470,570,37.1,59.9373,42.8373,20,59.9373,60,NO
B81-P33-BER-13,470,570,59.9467,37.1,20,42.8467,59.9467,60,NO
B81-P13-BER-20,470,570,37.1,59.9937,42.8937,20,59.9937,60,NO
B81-P30-BER-06,470,570,59.9962,35.105,20,44.8912,59.9962,60,NO
B81-P33-BER-08,470,570,42.9031,20,37.1,60.0031,60.0031,65,NO
B81-P33-BER-07,470,570,43.0018,20,37.1,60.1018,60.1018,65,NO
B81-P33-BER-06,470,570,43.124,20,37.1,60.224,60.224,65,NO
B81-P33-BER-05,470,570,43.2415,20,37.1,60.3415,60.3415,65,NO
B81-P32-BER-26,470,570,60.3462,37.1,20,43.2462,60.3462,65,NO
B81-P33-BER-04,470,570,43.3637,20,37.1,60.4637,60.4637,65,NO
B81-P30-BER-07,470,570,60.5461,35.105,20,45.4411,60.5461,65,NO
B81-P33-BER-03,470,570,43.4671,20,37.1,60.5671,60.5671,65,NO
B81-P33-BER-02,470,570,43.5893,20,37.1,60.6893,60.6893,65,NO
B81-P32-BER-25,470,570,60.6987,37.1,20,43.5987,60.6987,65,NO
B81-P32-BER-24,470,570,60.7175,37.1,20,43.6175,60.7175,65,NO
B81-P32-BER-23,470,570,60.7269,37.1,20,43.6269,60.7269,65,NO
B81-P33-BER-01,470,570,43.9747,20,37.1,61.0747,61.0747,65,NO
B81-P30-BER-08,470,570,61.0819,35.105,20,45.9769,61.0819,65,NO
B81-P30-BER-09,470,570,61.6318,35.105,20,46.5268,61.6318,65,NO
B81-P32-BER-12,470,570,63.1269,37.385,20,45.7419,63.1269,65,NO
B81-P32-BER-11,470,570,63.235,37.385,20,45.85,63.235,65,NO
B81-P32-BER-13,470,570,63.329,37.385,20,45.944,63.329,65,NO
B81-P32-BER-10,470,570,63.3619,37.385,20,45.9769,63.3619,65,NO
B81-P32-BER-09,470,570,46.1085,20,37.385,63.4935,63.4935,65,NO
B81-P32-BER-08,470,570,46.2307,20,37.385,63.6157,63.6157,65,NO
B81-P32-BER-07,470,570,46.3482,20,37.385,63.7332,63.7332,65,NO
B81-P32-BER-06,470,570,46.4234,20,37.385,63.8084,63.8084,65,NO
B81-P32-BER-05,470,570,46.4375,20,37.385,63.8225,63.8225,65,NO
B81-P30-BER-10,470,570,63.8336,37.1,20,46.7336,63.8336,65,NO
B81-P30-BER-11,470,570,63.8336,37.1,20,46.7336,63.8336,65,NO
B81-P30-BER-12,470,570,63.8336,37.1,20,46.7336,63.8336,65,NO
B81-P32-BER-04,470,570,46.4939,20,37.385,63.8789,63.8789,65,NO
B81-P32-BER-03,470,570,46.6161,20,37.385,64.0011,64.0011,65,NO
B81-P32-BER-02,470,570,46.7665,20,37.385,64.1515,64.1515,65,NO
B81-P30-BER-13,470,570,64.1908,37.1,20,47.0908,64.1908,65,NO
B81-P32-BER-01,470,570,47.2412,20,37.1,64.3412,64.3412,65,NO
B81-P31-BER-12,470,570,67.8239,37.1,20,50.7239,67.8239,70,NO
B81-P31-BER-11,470,570,67.8427,37.1,20,50.7427,67.8427,70,NO
B81-P31-BER-10,470,570,67.8615,37.1,20,50.7615,67.8615,70,NO
B81-P31-BER-13,470,570,68.1764,37.1,20,51.0764,68.1764,70,NO
B80-A02-BES-01,350,1000,20,33,33,20,33,36,NO
B80-A02-BES-02,350,1000,20,38,38,20,38,40,NO
B80-P42-BER-01,480,580,43,67,44,20,67,70,YES
B80-P42-BER-02,480,580,43,67,44,20,67,70,YES
B80-P42-BER-03,480,580,43,67,44,20,67,70,YES
B80-P42-BER-04,480,580,43,67,44,20,67,70,YES
B80-P42-BER-05,480,580,43,67,44,20,67,70,YES
B80-P42-BER-06,480,580,43,67,44,20,67,70,YES
B80-P42-BER-07,480,580,43,67,44,20,67,70,YES
B80-P42-BER-08,480,580,43,67,44,20,67,70,YES
B80-P42-BER-09,480,580,43,67,44,20,67,70,YES
B80-P42-BER-10,480,580,43,67,44,20,67,70,YES
B80-P42-BER-11,480,580,43,67,44,20,67,70,YES
B80-P42-BER-12,480,580,43,67,44,20,67,70,YES
B80-P42-BER-13,480,580,43,67,44,20,67,70,YES
B80-P42-BER-14,480,580,43,67,44,20,67,70,YES
B80-P42-BER-15,480,580,43,67,44,20,67,70,YES
B80-P42-BER-16,480,580,43,67,44,20,67,70,YES
B80-P43-BES-01,350,1000,20,38,38,20,38,40,YES
B80-P43-BES-02,480,580,43,67,44,20,67,70,YES
B80-P43-BES-03,480,580,43,67,44,20,67,70,YES
B80-P43-BES-04,480,580,43,67,44,20,67,70,YES
B80-P44-BES-01,350,1000,20,36,63,47,63,65,YES
B80-P44-BES-02,350,1000,20,36,36,20,36,36,YES
